eval_number,altitude_km,inclination_deg,raan_deg,true_anomaly_deg,score,objective_value,sunlight_fraction,eclipse_fraction,umbra_fraction,penumbra_fraction
1,35786.0,45.68223788757,293.207940370492,214.10168588600823,0.9194063926940639,-0.9194063926940639,0.9947488584474886,0.005251141552511416,0.00502283105022831,0.00022831050228310502
2,35786.0,104.97951382716887,245.36589869335955,59.29694776713909,0.9255707762557077,-0.9255707762557077,0.9953196347031964,0.0046803652968036525,0.003767123287671233,0.0009132420091324201
3,35786.0,80.03161912861492,172.35762806191218,153.19296100655083,0.9289954337899542,-0.9289954337899542,0.9958904109589041,0.00410958904109589,0.0031963470319634705,0.0009132420091324201
4,35786.0,66.59515831442498,30.1735733407493,342.578465739526,0.9182648401826483,-0.9182648401826483,0.9939497716894977,0.006050228310502283,0.004908675799086758,0.001141552511415525
5,35786.0,11.457436349766198,114.96232622583238,329.1208454027625,0.9075342465753423,-0.9075342465753423,0.9924657534246575,0.007534246575342466,0.00684931506849315,0.0006849315068493151
6,35786.0,30.871266327738994,347.4599345486921,286.70447236372183,0.811187214611872,-0.811187214611872,0.9748858447488584,0.02511415525114155,0.02214611872146119,0.0029680365296803654
7,35786.0,29.445593293840084,235.5926453655632,5.021154301948371,0.9191780821917808,-0.9191780821917808,0.9941780821917808,0.0058219178082191785,0.004794520547945206,0.0010273972602739725
8,35786.0,56.93703329647561,20.540247484274772,78.56296643417656,0.9100456621004565,-0.9100456621004565,0.992579908675799,0.007420091324200913,0.006278538812785388,0.001141552511415525
9,35786.0,6.872959308362418,74.25054986775352,248.6112475851476,0.8947488584474885,-0.8947488584474885,0.9901826484018265,0.009817351598173516,0.008904109589041096,0.0009132420091324201
10,35786.0,92.32285533726179,183.55633814427716,196.55496567692086,0.9255707762557077,-0.9255707762557077,0.9953196347031964,0.0046803652968036525,0.003767123287671233,0.0009132420091324201
11,35786.0,77.2748781071407,144.83407924831005,145.6730882295007,0.9310502283105022,-0.9310502283105022,0.9964611872146119,0.003538812785388128,0.0029680365296803654,0.0005707762557077625
12,35786.0,114.42246338492126,304.7309767374279,101.40876674479323,0.9317351598173516,-0.9317351598173516,0.9965753424657534,0.003424657534246575,0.0028538812785388126,0.0005707762557077625
13,35786.0,86.79695748388677,177.46526084418713,9.293097717852334,0.9260273972602738,-0.9260273972602738,0.9955479452054794,0.004452054794520548,0.003767123287671233,0.0006849315068493151
14,35786.0,104.82676661061399,295.9882087692918,67.55630135565293,0.9299086757990866,-0.9299086757990866,0.9963470319634703,0.0036529680365296802,0.0031963470319634705,0.00045662100456621003
15,35786.0,68.16280864678193,146.54214746984866,232.17510653377505,0.9321917808219178,-0.9321917808219178,0.9965753424657534,0.003424657534246575,0.0027397260273972603,0.0006849315068493151
16,35786.0,75.27654839140719,145.2086685222889,164.64348286930945,0.9296803652968035,-0.9296803652968035,0.9962328767123287,0.003767123287671233,0.0031963470319634705,0.0005707762557077625
17,35786.0,46.70040098686169,114.96232622583238,329.1208454027625,0.9264840182648402,-0.9264840182648402,0.9953196347031964,0.0046803652968036525,0.003538812785388128,0.001141552511415525
18,35786.0,30.871266327738994,347.4599345486921,142.38031622765368,0.771689497716895,-0.771689497716895,0.9676940639269407,0.03230593607305936,0.028424657534246577,0.0038812785388127853
19,35786.0,29.445593293840084,290.9231689268737,259.1165210715764,0.9061643835616437,-0.9061643835616437,0.9917808219178083,0.00821917808219178,0.00684931506849315,0.0013698630136986301
20,35786.0,1.8218593409607706,92.56625342110631,156.92585689765505,0.8913242009132419,-0.8913242009132419,0.9896118721461187,0.010388127853881279,0.009474885844748858,0.0009132420091324201
21,35786.0,43.49861777934774,262.376759740991,285.5969155899697,0.9184931506849314,-0.9184931506849314,0.9938356164383562,0.0061643835616438354,0.004794520547945206,0.0013698630136986301
22,35786.0,73.71646397989971,145.50110819450677,196.55496567692086,0.9246575342465754,-0.9246575342465754,0.9953196347031964,0.0046803652968036525,0.003995433789954338,0.0006849315068493151
23,35786.0,56.5999691074161,188.89636446628552,288.8556805772391,0.9273972602739725,-0.9273972602739725,0.9957762557077625,0.004223744292237443,0.003538812785388128,0.0006849315068493151
24,35786.0,46.70040098686169,314.43230641129,174.7614406115886,0.9141552511415524,-0.9141552511415524,0.9930365296803653,0.0069634703196347035,0.005479452054794521,0.0014840182648401827
25,35786.0,68.16280864678193,146.54214746984866,327.54729471789835,0.9287671232876711,-0.9287671232876711,0.9960045662100456,0.003995433789954338,0.003310502283105023,0.0006849315068493151
26,35786.0,82.79451302315428,295.9882087692918,67.55630135565293,0.928538812785388,-0.928538812785388,0.9954337899543378,0.0045662100456621,0.0030821917808219177,0.0014840182648401827
27,35786.0,114.42246338492126,1.0360350083385867,144.36047667519819,0.9331050228310502,-0.9331050228310502,0.9970319634703196,0.0029680365296803654,0.0027397260273972603,0.00022831050228310502
28,35786.0,90.12272756451117,145.2086685222889,245.0262107393766,0.9264840182648401,-0.9264840182648401,0.9955479452054794,0.004452054794520548,0.0036529680365296802,0.0007990867579908676
29,35786.0,46.70040098686169,124.87245166389256,143.41614140258886,0.9232876712328767,-0.9232876712328767,0.9946347031963471,0.005365296803652968,0.003995433789954338,0.0013698630136986301
30,35786.0,53.28735031974114,169.78365867351474,44.11525443314858,0.9248858447488584,-0.9248858447488584,0.9952054794520548,0.004794520547945206,0.0038812785388127853,0.0009132420091324201
31,35786.0,63.39755136513626,189.05301819378678,245.9705460119859,0.9242009132420091,-0.9242009132420091,0.9950913242009133,0.004908675799086758,0.003995433789954338,0.0009132420091324201
32,35786.0,112.11899682758916,107.09075378921526,113.04795166346184,0.9248858447488584,-0.9248858447488584,0.9954337899543378,0.0045662100456621,0.003995433789954338,0.0005707762557077625
33,35786.0,105.42674456597646,32.64581989358433,237.16629454169606,0.9237442922374429,-0.9237442922374429,0.9950913242009133,0.004908675799086758,0.00410958904109589,0.0007990867579908676
34,35786.0,49.49005421015134,183.55633814427716,210.18365310658078,0.9253424657534245,-0.9253424657534245,0.9954337899543378,0.0045662100456621,0.0038812785388127853,0.0006849315068493151
35,35786.0,77.2748781071407,22.796233449632837,26.030134025867795,0.9257990867579907,-0.9257990867579907,0.995662100456621,0.0043378995433789955,0.0038812785388127853,0.00045662100456621003
36,35786.0,105.42674456597646,29.323437878062464,214.10168588600823,0.9267123287671232,-0.9267123287671232,0.9954337899543378,0.0045662100456621,0.003538812785388128,0.0010273972602739725
