0,1,2,table_number,source
"Lenoir, North Carolina",1.08,1.09,9,Google Data Centers PUE page
"Lowcountry, South Carolina",1.08,1.10,9,Google Data Centers PUE page
"Montgomery County, Tennessee",1.10,1.11,9,Google Data Centers PUE page
"Jackson County, Alabama",1.09,1.11,9,Google Data Centers PUE page
"Loudoun County, Virginia",1.07,1.08,9,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.07,1.08,9,Google Data Centers PUE page
"New Albany, Ohio",1.13,1.14,9,Google Data Centers PUE page
"Council Bluffs, Iowa",1.10,1.11,9,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.08,9,Google Data Centers PUE page
"Papillion, Nebraska",1.12,1.12,9,Google Data Centers PUE page
"Mayes County, Oklahoma",1.08,1.10,9,Google Data Centers PUE page
"Midlothian, Texas",1.11,1.14,9,Google Data Centers PUE page
"The Dalles, Oregon",1.09,1.10,9,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.07,1.07,9,Google Data Centers PUE page
"Henderson, Nevada",1.07,1.10,9,Google Data Centers PUE page
"Storey County, Nevada",1.18,*,9,Google Data Centers PUE page
"Dublin, Ireland",1.09,1.09,9,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.09,9,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,9,Google Data Centers PUE page
"Fredericia, Denmark",1.12,1.11,9,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,9,Google Data Centers PUE page
"Changhua County, Taiwan",1.09,1.12,9,Google Data Centers PUE page
Singapore,1.13,1.13,9,Google Data Centers PUE page
Singapore (2nd facility),1.19,1.20,9,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,9,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,10,Google Data Centers PUE page
Fleet,1.10,1.10,10,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,10,Google Data Centers PUE page
"Douglas County, Georgia",1.09,1.09,10,Google Data Centers PUE page
"Lenoir, North Carolina",1.09,1.09,10,Google Data Centers PUE page
"Lowcountry, South Carolina",1.11,1.10,10,Google Data Centers PUE page
"Montgomery County, Tennessee",1.10,1.10,10,Google Data Centers PUE page
"Jackson County, Alabama",1.11,1.11,10,Google Data Centers PUE page
"Loudoun County, Virginia",1.08,1.08,10,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.08,1.08,10,Google Data Centers PUE page
"New Albany, Ohio",1.10,1.13,10,Google Data Centers PUE page
"Council Bluffs, Iowa",1.11,1.11,10,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.08,1.08,10,Google Data Centers PUE page
"Papillion, Nebraska",1.09,1.11,10,Google Data Centers PUE page
"Mayes County, Oklahoma",1.10,1.10,10,Google Data Centers PUE page
"Midlothian, Texas",1.14,1.14,10,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,10,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.07,1.06,10,Google Data Centers PUE page
"Henderson, Nevada",1.08,1.09,10,Google Data Centers PUE page
"Storey County, Nevada",1.20,1.22,10,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.09,10,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.09,10,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,10,Google Data Centers PUE page
"Fredericia, Denmark",1.10,1.11,10,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,10,Google Data Centers PUE page
"Changhua County, Taiwan",1.13,1.12,10,Google Data Centers PUE page
Singapore,1.13,1.13,10,Google Data Centers PUE page
Singapore (2nd facility),1.19,1.20,10,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,10,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,11,Google Data Centers PUE page
Fleet,1.12,1.10,11,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,11,Google Data Centers PUE page
"Douglas County, Georgia",1.13,1.09,11,Google Data Centers PUE page
"Lenoir, North Carolina",1.12,1.09,11,Google Data Centers PUE page
"Lowcountry, South Carolina",1.14,1.11,11,Google Data Centers PUE page
"Montgomery County, Tennessee",1.13,1.10,11,Google Data Centers PUE page
"Jackson County, Alabama",1.13,1.11,11,Google Data Centers PUE page
"Loudoun County, Virginia",1.10,1.08,11,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.11,1.08,11,Google Data Centers PUE page
"New Albany, Ohio",1.11,1.11,11,Google Data Centers PUE page
"Council Bluffs, Iowa",1.14,1.11,11,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.09,1.08,11,Google Data Centers PUE page
"Papillion, Nebraska",1.10,1.10,11,Google Data Centers PUE page
"Mayes County, Oklahoma",1.14,1.10,11,Google Data Centers PUE page
"Midlothian, Texas",1.16,1.13,11,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,11,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.08,1.06,11,Google Data Centers PUE page
"Henderson, Nevada",1.10,1.09,11,Google Data Centers PUE page
"Storey County, Nevada",1.24,1.21,11,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.09,11,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.09,11,Google Data Centers PUE page
"Eemshaven, Netherlands",1.09,1.07,11,Google Data Centers PUE page
"Fredericia, Denmark",1.08,1.11,11,Google Data Centers PUE page
"Hamina, Finland",1.10,1.09,11,Google Data Centers PUE page
"Changua County, Taiwan",1.15,1.12,11,Google Data Centers PUE page
Singapore,1.13,1.13,11,Google Data Centers PUE page
Singapore (2nd facility),1.19,1.19,11,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,11,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,12,Google Data Centers PUE page
Fleet,1.08,1.10,12,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,12,Google Data Centers PUE page
"Douglas County, Georgia",1.08,1.09,12,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.09,12,Google Data Centers PUE page
"Lowcountry, South Carolina",1.08,1.10,12,Google Data Centers PUE page
"Montgomery County, Tennessee",1.09,1.10,12,Google Data Centers PUE page
"Jackson County, Alabama",1.09,1.10,12,Google Data Centers PUE page
"Loudoun County, Virginia",1.09,1.08,12,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.07,1.08,12,Google Data Centers PUE page
"New Albany, Ohio",1.08,1.10,12,Google Data Centers PUE page
"Council Bluffs, Iowa",1.10,1.11,12,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.08,12,Google Data Centers PUE page
"Papillion, Nebraska",1.08,1.09,12,Google Data Centers PUE page
"Mayes County, Oklahoma",1.08,1.10,12,Google Data Centers PUE page
"Midlothian, Texas",1.10,1.13,12,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,12,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.07,12,Google Data Centers PUE page
"Henderson, Nevada",1.07,1.08,12,Google Data Centers PUE page
"Storey County, Nevada",1.14,1.19,12,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,12,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.09,12,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.08,12,Google Data Centers PUE page
"Fredericia, Denmark",1.10,1.10,12,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,12,Google Data Centers PUE page
"Changua County, Taiwan",1.11,1.12,12,Google Data Centers PUE page
Singapore,1.13,1.13,12,Google Data Centers PUE page
Singapore (2nd facility),1.17,1.19,12,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,12,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,13,Google Data Centers PUE page
Fleet,1.09,1.10,13,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,13,Google Data Centers PUE page
"Douglas County, Georgia",1.08,1.09,13,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.09,13,Google Data Centers PUE page
"Lowcountry, South Carolina",1.08,1.10,13,Google Data Centers PUE page
"Montgomery County, Tennessee",1.11,1.11,13,Google Data Centers PUE page
"Jackson County, Alabama",1.10,1.12,13,Google Data Centers PUE page
"Loudoun County, Virginia",1.07,1.09,13,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.08,1.11,13,Google Data Centers PUE page
"New Albany, Ohio",1.14,*,13,Google Data Centers PUE page
"Council Bluffs, Iowa",1.11,1.11,13,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.09,13,Google Data Centers PUE page
"Papillion, Nebraska",1.18,*,13,Google Data Centers PUE page
"Mayes County, Oklahoma",1.08,1.10,13,Google Data Centers PUE page
"Midlothian, Texas",1.16,*,13,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.11,13,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.08,1.06,13,Google Data Centers PUE page
"Henderson, Nevada",1.09,*,13,Google Data Centers PUE page
"Dublin, Ireland",1.09,1.09,13,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.08,13,Google Data Centers PUE page
"Eemshaven, Netherlands",1.06,1.08,13,Google Data Centers PUE page
"Fredericia, Denmark",1.13,*,13,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,13,Google Data Centers PUE page
"Changua County, Taiwan",1.10,1.12,13,Google Data Centers PUE page
Singapore,1.13,1.13,13,Google Data Centers PUE page
Singapore (2nd facility),1.23,*,13,Google Data Centers PUE page
"Quilicura, Chile",1.10,1.09,13,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,14,Google Data Centers PUE page
Fleet,1.10,1.10,14,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,14,Google Data Centers PUE page
"Douglas County, Georgia",1.10,1.09,14,Google Data Centers PUE page
"Lenoir, North Carolina",1.09,1.09,14,Google Data Centers PUE page
"Lowcountry, South Carolina",1.10,1.10,14,Google Data Centers PUE page
"Montgomery County, Tennessee",1.12,1.11,14,Google Data Centers PUE page
"Jackson County, Alabama",1.12,1.12,14,Google Data Centers PUE page
"Loudoun County, Virginia",1.09,1.09,14,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.09,1.10,14,Google Data Centers PUE page
"New Albany, Ohio",1.13,*,14,Google Data Centers PUE page
"Council Bluffs, Iowa",1.12,1.12,14,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.08,1.09,14,Google Data Centers PUE page
"Papillion, Nebraska",1.12,*,14,Google Data Centers PUE page
"Mayes County, Oklahoma",1.11,1.10,14,Google Data Centers PUE page
"Midlothian, Texas",1.18,*,14,Google Data Centers PUE page
"The Dalles, Oregon",1.09,1.11,14,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.07,1.07,14,Google Data Centers PUE page
"Henderson, Nevada",1.10,*,14,Google Data Centers PUE page
"Dublin, Ireland",1.09,1.09,14,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.09,14,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.08,14,Google Data Centers PUE page
"Fredericia, Denmark",1.11,*,14,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,14,Google Data Centers PUE page
"Changua County, Taiwan",1.13,1.12,14,Google Data Centers PUE page
Singapore,1.14,1.13,14,Google Data Centers PUE page
Singapore (2nd facility),1.23,*,14,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.10,14,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,15,Google Data Centers PUE page
Fleet,1.12,1.10,15,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,15,Google Data Centers PUE page
"Douglas County, Georgia",1.12,1.09,15,Google Data Centers PUE page
"Lenoir, North Carolina",1.11,1.09,15,Google Data Centers PUE page
"Lowcountry, South Carolina",1.13,1.10,15,Google Data Centers PUE page
"Montgomery County, Tennessee",1.14,1.12,15,Google Data Centers PUE page
"Jackson County, Alabama",1.14,1.12,15,Google Data Centers PUE page
"Loudoun County, Virginia",1.11,1.09,15,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.11,1.10,15,Google Data Centers PUE page
"New Albany, Ohio",1.18,*,15,Google Data Centers PUE page
"Council Bluffs, Iowa",1.14,1.12,15,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.10,1.08,15,Google Data Centers PUE page
"Papillion, Nebraska",1.13,1.14,15,Google Data Centers PUE page
"Mayes County, Oklahoma",1.13,1.10,15,Google Data Centers PUE page
"Midlothian, Texas",1.19,1.18,15,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,15,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.08,1.07,15,Google Data Centers PUE page
"Henderson, Nevada",1.15,1.12,15,Google Data Centers PUE page
"Storey County, Nevada",1.29,*,15,Google Data Centers PUE page
"Dublin, Ireland",1.09,1.09,15,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.09,15,Google Data Centers PUE page
"Eemshaven, Netherlands",1.08,1.07,15,Google Data Centers PUE page
"Fredericia, Denmark",1.11,*,15,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,15,Google Data Centers PUE page
"Changua County, Taiwan",1.14,1.12,15,Google Data Centers PUE page
Singapore,1.13,1.13,15,Google Data Centers PUE page
Singapore (2nd facility),1.21,*,15,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,15,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,16,Google Data Centers PUE page
Fleet,1.08,1.10,16,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,16,Google Data Centers PUE page
"Douglas County, Georgia",1.07,1.09,16,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.09,16,Google Data Centers PUE page
"Lowcountry, South Carolina",1.08,1.10,16,Google Data Centers PUE page
"Montgomery County, Tennessee",1.08,1.11,16,Google Data Centers PUE page
"Jackson County, Alabama",1.10,1.12,16,Google Data Centers PUE page
"Loudoun County, Virginia",1.07,1.09,16,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.07,1.09,16,Google Data Centers PUE page
"New Albany, Ohio",1.13,1.14,16,Google Data Centers PUE page
"Council Bluffs, Iowa",1.10,1.12,16,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.08,16,Google Data Centers PUE page
"Papillion, Nebraska",1.10,1.13,16,Google Data Centers PUE page
"Mayes County, Oklahoma",1.07,1.10,16,Google Data Centers PUE page
"Midlothian, Texas",1.12,1.16,16,Google Data Centers PUE page
"The Dalles, Oregon",1.09,1.10,16,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.05,1.07,16,Google Data Centers PUE page
"Henderson, Nevada",1.09,1.11,16,Google Data Centers PUE page
"Storey County, Nevada",1.20,*,16,Google Data Centers PUE page
"Dublin, Ireland",1.09,1.09,16,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.09,16,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,16,Google Data Centers PUE page
"Fredericia, Denmark",1.12,1.12,16,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,16,Google Data Centers PUE page
"Changua County, Taiwan",1.11,1.12,16,Google Data Centers PUE page
Singapore,1.13,1.13,16,Google Data Centers PUE page
Singapore (2nd facility),1.19,1.21,16,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,16,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,17,Google Data Centers PUE page
Fleet,1.09,1.10,17,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,17,Google Data Centers PUE page
"Douglas County, Georgia",1.08,1.10,17,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.09,17,Google Data Centers PUE page
"Lowcountry, South Carolina",1.08,1.11,17,Google Data Centers PUE page
"Montgomery County, Tennessee",1.09,1.14,17,Google Data Centers PUE page
"Jackson County, Alabama",1.11,1.16,17,Google Data Centers PUE page
"Loudoun County, Virginia",1.10,*,17,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.14,*,17,Google Data Centers PUE page
"Council Bluffs, Iowa",1.11,1.11,17,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.08,1.09,17,Google Data Centers PUE page
"Mayes County, Oklahoma",1.08,1.11,17,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,17,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.07,17,Google Data Centers PUE page
"Dublin, Ireland",1.09,1.09,17,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.09,17,Google Data Centers PUE page
"Eemshaven, Netherlands",1.08,1.09,17,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,17,Google Data Centers PUE page
"Changhua County, Taiwan",1.10,1.12,17,Google Data Centers PUE page
Singapore,1.12,1.13,17,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.08,17,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,18,Google Data Centers PUE page
Fleet,1.10,1.10,18,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,18,Google Data Centers PUE page
"Douglas County, Georgia",1.09,1.10,18,Google Data Centers PUE page
"Lenoir, North Carolina",1.10,1.09,18,Google Data Centers PUE page
"Lowcountry, South Carolina",1.11,1.11,18,Google Data Centers PUE page
"Montgomery County, Tennessee",1.10,1.12,18,Google Data Centers PUE page
"Jackson County, Alabama",1.13,1.14,18,Google Data Centers PUE page
"Loudoun County, Virginia",1.10,*,18,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.15,*,18,Google Data Centers PUE page
"Council Bluffs, Iowa",1.11,1.11,18,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.09,1.09,18,Google Data Centers PUE page
"Mayes County, Oklahoma",1.11,1.11,18,Google Data Centers PUE page
"The Dalles, Oregon",1.11,1.10,18,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.06,18,Google Data Centers PUE page
"Dublin, Ireland",1.10,1.09,18,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.09,18,Google Data Centers PUE page
"Eemshaven, Netherlands",1.08,1.09,18,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,18,Google Data Centers PUE page
"Changua County, Taiwan",1.13,1.12,18,Google Data Centers PUE page
Singapore,1.13,1.13,18,Google Data Centers PUE page
"Quilicura, Chile",1.08,1.08,18,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,19,Google Data Centers PUE page
Fleet,1.12,1.10,19,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,19,Google Data Centers PUE page
"Douglas County, Georgia",1.12,1.10,19,Google Data Centers PUE page
"Lenoir, North Carolina",1.11,1.09,19,Google Data Centers PUE page
"Lowcountry, South Carolina",1.13,1.11,19,Google Data Centers PUE page
"Montgomery County, Tennessee",1.14,1.11,19,Google Data Centers PUE page
"Jackson County, Alabama",1.15,1.13,19,Google Data Centers PUE page
"Loudoun County, Virginia",1.11,*,19,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.16,*,19,Google Data Centers PUE page
"Council Bluffs, Iowa",1.13,1.11,19,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.11,1.09,19,Google Data Centers PUE page
"Mayes County, Oklahoma",1.14,1.11,19,Google Data Centers PUE page
"The Dalles, Oregon",1.12,1.11,19,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.07,1.06,19,Google Data Centers PUE page
"Dublin, Ireland",1.09,1.09,19,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.08,19,Google Data Centers PUE page
"Eemshaven, Netherlands",1.09,1.09,19,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,19,Google Data Centers PUE page
"Changua County, Taiwan",1.14,1.12,19,Google Data Centers PUE page
Singapore,1.13,1.13,19,Google Data Centers PUE page
"Quilicura, Chile",1.10,1.09,19,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,20,Google Data Centers PUE page
Fleet,1.09,1.10,20,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,20,Google Data Centers PUE page
"Douglas County, Georgia",1.08,1.09,20,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.09,20,Google Data Centers PUE page
"Lowcountry, South Carolina",1.09,1.10,20,Google Data Centers PUE page
"Montgomery County, Tennessee",1.09,1.10,20,Google Data Centers PUE page
